,X,Y,time
3557,17.005156,-0.8679709,61169492.0
3558,17.00634,-0.8550885,61186440.0
3559,17.00634,-0.8550885,61203388.0
3560,inf,-inf,61220336.0
3561,17.018305,-0.86994195,61237290.0
3562,17.016861,-0.8443868,61254236.0
3563,17.019257,-0.821772,61271184.0
3564,17.020905,-0.8007136,61288136.0
3565,inf,-inf,61305084.0
3566,inf,-inf,61322030.0
3567,17.01838,-0.8223376,61338984.0
3568,17.002916,-0.8447995,61355932.0
3569,16.993254,-0.8493916,61372880.0
3570,16.992657,-0.84955776,61389830.0
3571,16.99276,-0.8461134,61406780.0
3572,16.973457,-0.802946,61423730.0
3573,inf,-inf,61440676.0
3574,inf,-inf,61457628.0
3575,inf,-inf,61474576.0
3576,inf,-inf,61491524.0
3577,inf,-inf,61508470.0
3578,inf,-inf,61525424.0
3579,inf,-inf,61542372.0
3580,inf,-inf,61559320.0
3581,inf,-inf,61576270.0
3582,inf,-inf,61593220.0
3583,inf,-inf,61610170.0
3584,inf,-inf,61627120.0
3585,inf,-inf,61644068.0
3586,inf,-inf,61661016.0
3587,inf,-inf,61677970.0
3588,inf,-inf,61694916.0
3589,inf,-inf,61711864.0
3590,inf,-inf,61728812.0
3591,inf,-inf,61745760.0
3592,inf,-inf,61762710.0
3593,16.83337,-0.9302893,61779660.0
3594,16.825851,-0.934867,61796610.0
3595,16.83043,-0.9383206,61813560.0
3596,16.828764,-0.93782634,61830508.0
3597,16.819622,-0.94446677,61847456.0
3598,inf,-inf,61864410.0
3599,inf,-inf,61881356.0
3600,inf,-inf,61898304.0
3601,inf,-inf,61915256.0
3602,inf,-inf,61932204.0
3603,inf,-inf,61949150.0
3604,16.819603,-0.9633454,61966100.0
3605,inf,-inf,61983050.0
3606,16.819603,-0.9633454,62000000.0
3607,16.819603,-0.9633454,62016948.0
3608,16.816032,-0.9742421,62033896.0
3609,16.82152,-0.97523046,62050850.0
3610,16.819603,-0.9633454,62067796.0
3611,16.821617,-0.9684144,62084744.0
3612,16.821617,-0.9684144,62101696.0
3613,16.832785,-0.9865105,62118644.0
3614,16.832012,-0.9622656,62135590.0
3615,16.832785,-0.9865105,62152544.0
3616,16.832785,-0.9865105,62169492.0
3617,16.832785,-0.9865105,62186440.0
3618,16.832785,-0.9865105,62203388.0
3619,16.828613,-0.98624074,62220336.0
